,0
647,73171
648,328565
649,325635
650,100423
651,30380
652,271518
653,552
654,70512
655,121288
656,113294
657,88
658,233247
659,135779
660,203416
661,126792
662,153016
663,300300
664,134726
665,2398
666,150997
667,193558
668,213893
669,123540
670,242639
671,2955
672,87890
673,165401
674,132018
675,163839
676,20963
677,284760
678,65532
679,69789
680,160495
681,146278
682,231581
683,244114
684,306040
685,173064
686,154825
687,283864
688,345972
689,318009
690,29603
691,155624
692,168584
693,116998
694,270970
695,307002
696,156336
697,332686
698,281442
699,308119
700,7717
701,226320
702,162007
703,283863
704,181521
705,350316
706,71721
707,232219
708,143741
709,72321
710,167400
711,336794
712,214880
713,73761
714,304051
715,15364
716,183840
717,9823
718,3307
719,218074
720,301255
721,242574
722,241724
723,249381
724,332772
725,22345
726,204472
727,55600
728,256999
729,483
730,31563
731,168435
732,256382
733,355093
734,143515
735,20100
736,242705
737,255692
738,68425
739,280480
740,173442
741,214887
742,273330
743,298383
744,21882
745,279613
746,244228
747,300877
748,201825
749,220520
750,192457
751,200147
752,180593
753,11825
754,43528
755,220517
756,47185
757,2163
758,156943
759,202670
760,218333
761,350933
762,586
763,162286
764,169654
765,179803
766,36235
767,170416
768,158435
769,2453
770,204516
771,346965
772,40628
773,230244
774,296237
775,137988
776,41
777,244608
778,203417
779,256570
780,357563
781,45
782,251678
783,160499
784,171273
785,131287
786,26997
787,350184
788,51
789,326494
790,198830
791,91872
792,110277
793,218121
794,328866
795,1035
796,12002
797,161417
798,284777
799,252153
800,276498
801,217780
802,156566
803,79127
804,181687
805,30957
806,191051
807,194879
808,328479
809,179172
810,197443
811,218479
812,306881
813,117915
814,307305
815,179275
816,15512
817,41002
818,177590
819,30645
820,38996
821,163602
822,175117
823,12962
824,145659
825,28181
826,234671
827,349067
828,103886
829,228328
830,176165
831,16747
832,528
833,12891
834,24800
835,1465
836,18098
837,244331
838,346703
839,158889
840,8125
841,337765
842,214029
843,238799
844,122298
845,275467
846,227460
847,299047
848,137269
849,119788
850,12902
851,166384
852,234477
853,266164
854,254386
855,148575
856,113997
857,262941
858,65244
859,94
860,237179
861,244992
862,91514
863,356123
864,53953
865,155362
866,216459
867,285984
868,35570
869,253499
870,277700
871,26990
872,129948
873,256788
874,56692
875,148729
876,1041
877,37380
878,131260
879,139898
880,195137
881,219215
882,154458
883,29368
884,177678
885,264052
886,329465
887,173
888,98229
889,361545
890,2093
891,272739
892,1345
893,224597
894,223953
895,299684
896,245643
897,26566
898,9440
899,82421
900,198740
901,238992
902,41066
903,318560
904,160851
905,2181
906,248065
907,904
908,272738
909,239472
910,132028
911,148319
912,196526
913,156689
914,267319
915,108906
916,202408
917,317457
918,239464
919,270314
920,172047
921,13642
922,27976
923,195560
924,59946
925,235488
926,231218
927,8051
928,294612
929,348450
930,66356
931,98351
932,491
933,284818
934,151004
935,27588
936,201921
937,240
938,199966
939,38054
940,25669
941,193214
942,203427
943,316546
944,147151
945,108784
946,82420
947,197405
948,65901
949,207830
950,210296
951,52461
952,291845
953,191977
954,112
955,212402
956,245487
957,106217
958,125678
959,242804
960,233262
961,154086
962,249277
963,298065
964,169124
965,311988
966,228504
967,331787
968,19600
969,66505
970,281655
971,291508
972,195314
973,554
974,227515
975,180680
976,15817
977,171669
978,66056
979,95064
980,224
981,182340
982,157403
983,315610
984,207243
985,204027
986,218509
987,1382
988,244654
989,200077
990,230080
991,161882
992,72287
993,281466
994,174570
995,178336
996,242684
997,270971
998,207691
999,276894
1000,150999
1001,8203
1002,141517
1003,75449
1004,335764
1005,939
1006,104710
1007,200954
1008,164949
1009,329551
1010,253284
1011,290484
1012,279254
1013,168917
1014,163154
1015,156776
1016,131646
1017,295564
1018,158275
1019,165838
1020,127518
1021,177524
1022,241266
1023,191300
1024,11971
1025,69779
1026,157809
1027,185589
1028,161866
1029,229892
1030,40793
1031,254708
1032,217449
1033,318553
1034,72225
1035,271601
1036,172931
1037,208024
1038,217861
1039,823
1040,299960
1041,104363
1042,191231
1043,256589
1044,130176
1045,23540
1046,153065
1047,300217
1048,25568
1049,35497
1050,171233
1051,136991
1052,160018
1053,681
1054,146312
1055,6830
1056,198454
1057,1822
1058,134352
1059,22825
1060,60
1061,194517
1062,35052
1063,85897
1064,21523
1065,223750
1066,176371
1067,45986
1068,122522
1069,97903
1070,374173
1071,245476
1072,1301
1073,338760
1074,55427
1075,194880
1076,91536
1077,16992
1078,222514
1079,233571
1080,1608
1081,18100
1082,306481
1083,221
1084,223770
1085,230933
1086,89409
1087,228855
1088,270239
1089,145639
1090,181796
1091,142326
1092,300327
1093,261114
1094,370913
1095,37628
1096,299169
1097,24068
1098,314503
1099,17329
1100,175199
1101,347703
1102,176544
1103,135382
1104,229265
1105,152162
1106,159473
1107,334065
1108,309630
1109,300905
1110,551
1111,252526
1112,276042
1113,206051
1114,287084
1115,71671
1116,164265
1117,5737
1118,145371
1119,234669
1120,183571
1121,327
1122,67492
1123,163642
1124,141423
1125,37836
1126,206931
1127,207336
1128,216092
1129,205597
1130,271869
1131,1634
1132,244049
1133,273477
1134,278
1135,251412
1136,156091
1137,318983
1138,183880
1139,94246
1140,95103
1141,68264
1142,833
1143,104020
1144,44163
1145,197070
1146,351040
1147,124
1148,91080
1149,221318
1150,143884
1151,271529
1152,154246
1153,27364
1154,129736
1155,301767
1156,338957
1157,121410
1158,182694
1159,195162
1160,173090
1161,232918
1162,293889
1163,8989
1164,353288
1165,213266
1166,128721
1167,297129
1168,354
1169,184151
1170,140933
1171,151007
1172,34084
1173,8045
1174,257518
1175,226520
1176,82168
1177,137649
1178,244536
1179,13823
1180,137297
1181,105
1182,187377
1183,17396
1184,305682
1185,171879
1186,359438
1187,173101
1188,1115
1189,22141
1190,527
1191,230085
1192,241590
1193,121297
1194,180899
1195,256606
1196,340041
1197,295607
1198,247236
1199,123955
1200,152470
1201,233961
1202,35815
1203,204836
1204,30381
1205,126100
1206,174660
1207,91873
1208,102548
1209,16395
1210,43443
1211,42910
1212,300753
1213,342848
1214,147303
1215,50768
1216,218421
1217,192074
1218,253608
1219,66837
1220,25643
1221,343562
1222,281194
1223,226518
1224,154386
1225,19100
1226,159504
1227,104347
1228,282954
1229,177802
1230,329845
1231,164338
1232,38159
1233,299317
1234,855
1235,42452
1236,12995
1237,39953
1238,223855
1239,228660
1240,18258
1241,202583
1242,302098
1243,188547
1244,269595
1245,271319
1246,165986
1247,238638
1248,160610
1249,1540
1250,41916
1251,10
1252,25821
1253,131014
1254,149155
1255,157526
1256,240855
1257,113873
1258,4099
1259,165872
1260,134253
1261,191876
1262,1261
1263,2507
1264,325022
1265,243759
1266,346501
1267,230
1268,268201
1269,16986
1270,85256
1271,132372
1272,83195
1273,23094
1274,61692
1275,157001
1276,1159
1277,302524
1278,327711
1279,245422
1280,119591
1281,183006
1282,191597
1283,242722
1284,252752
1285,219100
1286,288169
1287,111124
1288,302388
1289,175324
1290,257614
1291,159503
1292,9220
1293,284936
1294,224821
1295,143405
1296,332386
1297,826
1298,328908
1299,60435
1300,2842
1301,205716
1302,57390
1303,359609
1304,7805
1305,264982
1306,231484
1307,284108
1308,272453
1309,246761
1310,202077
1311,310448
1312,297978
1313,212516
1314,38823
1315,12495
1316,314088
1317,53093
1318,9203
1319,206803
1320,117985
1321,232988
1322,163474
1323,233020
1324,2338
1325,255674
1326,106
1327,215841
1328,298371
1329,103
1330,30618
1331,15126
1332,134453
1333,217085
1334,229491
1335,1897
1336,150312
1337,219101
1338,172385
1339,21441
1340,105037
1341,184424
1342,180040
1343,63268
1344,394
1345,10640
